timestamp	schemaVersion	decisionKind	admissionVerdict	admissionReasonCodes	route	decisionReasonCodes	classification	requestId	sessionId	actualModel	targetModel	matchStatus	classificationBasis	matchDeltaMs	sessionFile	originalPrompt	assistantText	toolCalls	toolResults
2026-07-10T21:53:35.660Z	1	continuation	strong	["scope_ambiguous"]		["scope_ambiguous"]	{"status":"skipped"}	f51e0e7f-c115-437b-a1d5-b38d02b6f178	019f4e03-ac52-73ab-891b-9890d5863d08	deepseek/deepseek-v4-flash	nvidia-free/z-ai/glm-5.2	matched	continuation_tool_batch	0					
2026-07-10T21:53:38.059Z	1	continuation	strong	["scope_ambiguous"]		["scope_ambiguous"]	{"status":"skipped"}	f51e0e7f-c115-437b-a1d5-b38d02b6f178	019f4e03-ac52-73ab-891b-9890d5863d08	deepseek/deepseek-v4-flash	nvidia-free/z-ai/glm-5.2	matched	continuation_tool_batch	0					
2026-07-10T21:53:40.415Z	1	continuation	strong	["scope_ambiguous"]		["scope_ambiguous"]	{"status":"skipped"}	f51e0e7f-c115-437b-a1d5-b38d02b6f178	019f4e03-ac52-73ab-891b-9890d5863d08	deepseek/deepseek-v4-flash	nvidia-free/z-ai/glm-5.2	matched	continuation_tool_batch	0					
2026-07-10T21:53:43.063Z	1	continuation	strong	["scope_ambiguous"]		["scope_ambiguous"]	{"status":"skipped"}	f51e0e7f-c115-437b-a1d5-b38d02b6f178	019f4e03-ac52-73ab-891b-9890d5863d08	deepseek/deepseek-v4-flash	nvidia-free/z-ai/glm-5.2	matched	continuation_tool_batch	0					
2026-07-10T21:53:50.388Z	1	continuation	strong	["scope_ambiguous"]		["scope_ambiguous"]	{"status":"skipped"}	f51e0e7f-c115-437b-a1d5-b38d02b6f178	019f4e03-ac52-73ab-891b-9890d5863d08	deepseek/deepseek-v4-flash	nvidia-free/z-ai/glm-5.2	matched	continuation_tool_batch	0					
2026-07-10T21:53:53.476Z	1	continuation	strong	["scope_ambiguous"]		["scope_ambiguous"]	{"status":"skipped"}	f51e0e7f-c115-437b-a1d5-b38d02b6f178	019f4e03-ac52-73ab-891b-9890d5863d08	deepseek/deepseek-v4-flash	nvidia-free/z-ai/glm-5.2	matched	continuation_tool_batch	0					
2026-07-10T21:53:55.930Z	1	continuation	strong	["scope_ambiguous"]		["scope_ambiguous"]	{"status":"skipped"}	f51e0e7f-c115-437b-a1d5-b38d02b6f178	019f4e03-ac52-73ab-891b-9890d5863d08	deepseek/deepseek-v4-flash	nvidia-free/z-ai/glm-5.2	matched	continuation_tool_batch	0					
2026-07-10T21:53:57.986Z	1	continuation	strong	["scope_ambiguous"]		["scope_ambiguous"]	{"status":"skipped"}	f51e0e7f-c115-437b-a1d5-b38d02b6f178	019f4e03-ac52-73ab-891b-9890d5863d08	deepseek/deepseek-v4-flash	nvidia-free/z-ai/glm-5.2	matched	continuation_tool_batch	0					
2026-07-10T21:54:00.082Z	1	continuation	strong	["scope_ambiguous"]		["scope_ambiguous"]	{"status":"skipped"}	f51e0e7f-c115-437b-a1d5-b38d02b6f178	019f4e03-ac52-73ab-891b-9890d5863d08	deepseek/deepseek-v4-flash	nvidia-free/z-ai/glm-5.2	matched	continuation_tool_batch	0					
2026-07-10T21:54:02.998Z	1	continuation	strong	["scope_ambiguous"]		["scope_ambiguous"]	{"status":"skipped"}	f51e0e7f-c115-437b-a1d5-b38d02b6f178	019f4e03-ac52-73ab-891b-9890d5863d08	deepseek/deepseek-v4-flash	nvidia-free/z-ai/glm-5.2	matched	continuation_tool_batch	0					
